id,ha_text,ig_text,ha_ig_text
778,wlh kam namesec narfa u darajatin mannasha idan allah ya ba mutun kada kayi hasada,kaa nwaanyi oma,
779,allah yabasu zaman lahiya da zuri a dayyiba,mazi o ga a diri gi mma  chukwu gozie mbo o bula i na agba n ikwalite asusu na omenala igbo,
780,innalillahi wa inna ilaihiraji un allah ya gafarta masa mu kuma allah ka rabamu da mummunan karshe,we are in the eastern region  ndi igbo kwenu  kwe zyuo nu o o o   onye ne mma nekwa ikperem na ala chineke idi mma     100 africanpraise,
781,subhanallah    fata na gari dai lamiri,daalu onye ezigbo,
782,allah yajikanshi yaimasa rahama,oji chukwu ji ihe dinma,
783,allah sarki nageria kasata,chai see di ja  omalichanwa,
784,muna rukon allah ya zaba muna shugaba nagari kasata janhuriyar niger,covid 19 odogwu   nnekwu mmad     thankio   able gburugburu thankio,
785,babban darekta allah k ara basira,bulie ya elu bulie jesus elu igwe              dcservice  secondservice  praises,
786,kano yafi ko ina a nigerian,olaiya igwe is good,
787,da anayi 16 din da baba yayi da yardar allah,isi ike ndu  ke n adighi atata  aka aka ya  aka jehovah neme mma   iytc2017,
788,ameen dan unguwarmu,np  onye eze   x  sundaytonic cc,
789,good job jagora,ji si ike nwanyi oma,
790,ya allah    ka kawo mana mafita,ngwa ndo  nwanne,
791,gaskiya ba laifi alhamdulilah,o dighi onye di ka gi    chineke   odighi onye   igweeee  there s no one like you lord      hotrservice,
792,idan har dagaske abubuwanda nagani ake tuhumar sa dashi duka gaskiyane  ina amfani da wannan damar ina yiwa daukacin yan gombs murna  domin haka yana nuna cigaba ne babba a siyasance  allah ya ta,gaa na ihu  ejihu ujo biri nwanyi oma,
793,khusufi  mujadala  hiyana  filazal  etc allah yajikanka allah yagafarta maka allah yasa karshen wahalar kenan dasauran musulmi,ha    okwu x okwu    ijeoma,
794,haba karki damu ai kinada gabon,chineke mere gi ebere,
795,allah yatayaka ruko dan mallawa,oh ok    nsogbu adiro,
796,allah ya jikan al umar musulunci  ameen,her talent dika ihe agba na aka  ad gh  enyo ya enyo,
797,ydg fatan alheri ga iyalan shugaba buhari mungode allah da ya dawo mana dashi lfy  da ana cewa bazai dawo ba sai dai gawan sa,t t   ma nne    kedu ebe a na ere okpa d  mma n awka biko,
798,wow amma zulum ya birgeni yasin,this na real rap  no be kpo kpo di kpo,
799,ina mai matukar alfahari da yare na na hausa  ni bahaushe ne cikakke ba hausa fulani ba  allah ya kara daukaka mu hausawa  mu rike al adun mu mu kuma aje wasu al adun da yawa wadan da ba namu ba,baby afa m b  africa  f a m aka n isi  f a m ezigbo aka n isi     more    to you  woman of steel,
800,ga tsaro  ga taimako  allah ya biya yaran major,at a time nd  oga na ad  kwa loyal,
801,allah ya jikansa yayi masa rahama yasanya aljanna ce makoma ameen,nwanyi oma  akpirimu di kwa ya,
802,ina tayaki murnar zagayowar ranar haihuwa,ututu oma umunnem  unu gbalia sorom kam soachi unu   we are here sir  follow a follow bk,
803,man city ce kungiyar da zata lashe insha allah  up city,okayyyy   2023 erubego chibuike eyiba isi agu  ya diba kene  kama oburu na uche gi di ya  agam akwado gi  jisie ike,
804,hehhe ina jin dadin captions din bbchausa aradu,aka aka ya  aka jehovah ne eme mma  ointmentofgrace,
805,tambayoyin da amsar gaskia sun qayatar dani,nke a atogi special,
806,hmmmm kuma dai kunsan sweetie na nikawai takeso,ndi anyi na agbalu mbo   god bless you,
807,allah ya kara daukaka princess,happy birthday nwaoma osiso  chiukwu gozie gi,
808,allah ya kar6a ya bamu xaman lafiya,di mma,
809,hmm gaskiya malam saira daban ne kai wajan hada soyayya,ndi mmuozi bi n igwe   na akpo isi ala n enye gi ekele  ndi nso bi n uwa na ebu ikpere n enye gi otito jesus onye nwuru si na ndi nwuru anwu wey bilie  ikwesiri inye ekele   thegospel  hotrservic,
810,kin baro hannun producer  director ne kin dawo hannun gaskiya,jisi ike nna anyi ukwu  imeela,
811,tofa  allah ya kiyaye,happy sunday ndi nkem,
812,bazoum muhammad  kaji tsoron allah ka yi adalci wa al ummar niger,nwee anuri ncheta omumu gi beanyi  ka aka chukwu na eme mma di gide na ndu gi mgbe nile amii ooo,
813,dan sanda abokin kura   oh srry abokin kowa,t t   ma ada,
814,hhm my nation nigeria          komede nabu daban allah bamu ilimi me albarka,the chukwu agozigo gi video  by oga boss,
815,to lallai duniya taimasu dadi,happy birthday ngwa babe    cheers,
816,allah ya karemu sbd shugaba jagaba afadar sarki allah wato muhammad dan amina sa abdullahi,udo d   nna  ya ab a,
817,ameen thumma amin      muna ta jiran tallafi daga wajen ka a matsayin ka na sarki    you supposed to bless your fans wlh,o ga adi ka oru ebube,
818,gaskiya ne buhari wannan ma nasara ce,ada du mma  jee nke oma  biafra we shall get,
819,a hankali dia bayan mun sha hakuri freedom yazo     allah kara tsaremu,in summary    mmadu chineke kelu eke kwesiri ina ala ikpu ofuma ofuma makana aru mmadu aburo nku,
820,wanna rayuwa allah yasa mudace kawae amma idan aka cigabah da irin wnn akawe matsala,iwu ezigbo mmadu,
821,amma gsky yayi qoqari over,onye ka mbu na jehovah na echerem  happy birthday to me   omalichasday  julyqueen,
822,allah ya riga ya rubuta kaddarar mu,nwoke  ma     ked,
823,kinsan allah ahaka kinfikyau  you look so beautifully,asa yi black  mji amu mekasia ya alu oga akpacha onwe ya mana owu otu ndi obodo oyinbo,
824,i really enjoy watching mati a zazzau amma kun kai gaisuwa wajan sarkin zazzau kuwa,hahaha hahaha  nke a t   m pi ces  goals are goals joor,
825,noma tushen arziki,na kp r  teta ke n ebe chukwu na odiro nfe cha k  ma n   b  obi ebere chukwu nna,
826,kanawa sae uban abba,chineke biko gwazie angel michael ka ogbuo opi ike na ihe ojoo ejugo uwa ikere eke,
827,allah jikansa yamasa rahma,ihe nke a gbaram ghariiiii  chukwu du be anyi,
828,allah ya gafarta masa   kusan ince duk fina finan sa ba na zubarwa allah ya sa aljanna makoma,hian chukwu na    no worry nsogbu adiro,
829,nagge     dadi goma  bawani abun yarwa a jikinki,a beautiful monday morning to us all  ka  b ch  taa mara any  nma    igbotwittercommunity  bbnaija,
830,tun jiya nake jiran hoton ki,iji okwu nwanyi oma,
831,jaruma sai jarumi,iseeee       bos  maal  g  mma,
832,gsky kam  to allah yabada saa,aka aka ya  aka jihova n eme nma  oluebube ya nke n erughari n ebe m n  isi iyi nke ndu nke n adighi atata aka aka ya  aka jihova n eme nma     worship,
833,allah ya gafarta musu  allah kuma ya saka musu ya tona asirin wanda sukayi wanan mugun aika aikan,happy amuru ubochi papa adanna  ka chukwu gozie gi real big,
834,gaskiyar ka shugama na gari,n aha jesus christ bu onye nwe anyi,
835,allah ka yaye mana wannan annoba alfarmar annabi s a w,ezigbo nna ka i bu,
836,gaskiya na gaba yayi gaba allah ya kara basira,praise echetalam o echetalam ihi omeren jesus onye obioma  thelovechannelsng  shiftservice  gratefulness,
837,da ma ai ba harkar allah da annabi ba ce  allah ubangiji ya rusa ta ya ba ku wadda ta fi ta,nnem jukwu aj       fa amam fu g  n  afa jesus chaiii       chukwu daal  na  s  g  nnem,
838,gaskiya abin yaburgeni  allah basu zaman lfy da zuriya masu albarka                  half caste                 wannan yaro yahuta baza ayi gulma cikin gidanshi ba  saboda matan kano ba english,anuri ncheta ubochi omumu gi nwanyi oma    aka chukwu di na ndu gi    golibe,
839,bama jin dadi da baka nan kwana biyu  ya kamata ka dawo ko mu biyu ka,n ututu ah  e ji m ekele bia n iru onye nwe m,
840,uhm    kunsan ai allah inyabaka baki saikafadi abinda kagadama  amman in addaa allah ya kawo wa ministe sauki saboda,ijeoma jee nke oma  ahhhh  no now,
841,abu yayi kyau  haka ake so  zaman lafiya yafi zama sarki,o di mma  doc jisike,
842,ya allah muna rokon ka ka bamu zaman lafiya a duniya baki daya,chinekeeeeee  ii di kwa mma,
843,zamu roqi allah  don kaima bayinkanka bane shugabanmu  allah kawomana dauki    nothernlivesmatter,chineke   i na acho onye gi na ya na asu igbo  igwaro m,
844,allah yasauke  amma stay safe  yana bawa in nigeria wahala sbd wasu basuda abinci duk da anara kudi da abinci amma hakan wasu basu samu bah  allah yakyauta allah yatsare amen,np help me god   oge ndi igbo,
845,allah yastaremu daga cikin wa en nan mutane da soke fadi dan darajar annabi,nwee anuri ncheta omumu gi  ka aka chukwu na eme mma di gide na ndu gi mgbe nile  amii ooo  biri kwa na ndu na aku,
846,gorgeous  barka da sallah hajjaju,agwagom ha hapu unu ihe na eme ebe ozo  gbadonu anya na obodo unu  obughi government ga edozi obodo anyi ma unu ebidoro dozigbe ya  onye kwe chi ya ekwe maka oganiru ala igbo  umuada ka chuk,
847,alhamdulilahi mun sha rowa lfy harciki yacika ido ya bude baki ya bude,nwaany   ma  dal  rinne,
848,allah yakaimu gobe da yamma aga wata kaman rawanin sarkin sokoto,i b  ezigbo nnwayi,
849,dadi kasheni   ina ne,the chukwu agozigo gi video by oga boss,
850,ameen thuma ameen my lovely rahama,aka aka ya aka jehovah meme nma olu ebube ya nke nerughari nebe m no isi iyi nke ndu nke nadighi ata ata aka aka ya aka jehovah meme nam aka aka ya aka jehovah meme nma olu ebube ya nke nerughar,
851,kakata  marikiyata hajiya zainab gidado  allah kai haske kabarinki,i ve tested of your power you never change  eh eh onye olu ebube  dalu onye olu ebube  onye olu ebube  onye olu ebube  onye olu ebube  amama masi amasi o  onye olu ebube  dalu  onye olu ebube  ony,
852,komai da sanadin faruwanshi  wannan ma akwai dalili fatan alheri,i na abali nke oma n isu asusu igbo  jisike,
853,duk kanku akeji  mudai kawai allah yakawo mah addininmu dauki yakuma kare musulmi a duk inda yake amiin,nwa eji eje mba,
854,allah yakara tsare muslim a duk inda suke ameen yarabb,odinma o nwanne nmadu    o bu ofu uzo k anyi niile si ana b anyi ngwa kwado k iga uka happy sunday,
855,mun gode kwarai aminiya,chineke daalu  nwa bialu uwa  nno ije  i ga adi k echi n echi adi agwu agwu igbuo n aka nri  i g egbu na mma  igbuo n aka ekpe i g egbu na mma  eke orie afo nkwo  ahia n ano di n igbo ga ehu,
856,amincin allah yaqara tabbata agareka sister allah ya karbi ibadunki da nawa dan fiyayyen halitta annabi muhammadu  s a w  barka da sallah da fatar kinyi sallah lafiya allah yasa haka ameen summa,deeemee   osodieme oooya ka ina ekwu   jisie ike maama ihe chukwu dere odewo y  her excellency you must answer,
857,allah barminku tareh,asa  nwanyi oma,
858,gsky ne wannan allah y kara wa malam lafiya,ekwueme oloro ihe loro enyi agu n eche mba osimiri atata ama ama amasighi amasi isi iyi nke ndu odogwu akataka igodo ji ndu odum nke ebo juda nwanne nke otu onye ozo piata piata n elu ogwu e,
859,allah yasa mudace didi,a d  m mma,
860,allah ta ala ya sa a tattana alheri ya kuma kawo mana mafita,chim di ebube,
861,allah ya taimaki musulunci da musulmai ya kaskantar da kafirci tare da kafirai  ameen,huge congrats nwoke  ma  jisike,
862,to maadallah mu masu yima kasa hidima muna godiya,soon  kai ihe oma makwaranu nma,
863,allah ka dubi bayin ka  ka gaggauta saka musu   allah sa karshen wahalar su kenan,nsogbu adiro ezigbo nwa,
864,innalilahi wainnailaihi rajiun   allah yabashi aljannatul firdausi,anuruma m ji eme  n,
865,katsina funtua lg har kyauta ake bayarwa,inwero nsogbu ma ncha,
866,allah yasa hakan shinee alkhairi agareshii,ndewo nwanyi oma,
867,ehh yayi kokari,praise i m living an upward life oh upward life oh onye n eme mma nara ekele onye n eme mma nara otito  thelovechannelsng  sundays  gratefulness,
868,abun nan yana min dadi sosai a zuciya nah           dem,igboamaka  igbogaad   igbob dach   igbo ka any  ji eme ngala  igbo kajal  akaja  ezigbo nwaf  igbo ka m b,
869,masha allah allah kasa kufita kunyar mu mu yan kallo,unadeylistento  chukwu agozigo gi    totoriexpress with,
870,bbc allah ya shirye ku,nara ekele m jiri bia onye di nso   goodmorningenugu  goodmorningenugu2018,
871,hmh   allah sarki  talaka bawan allah yana so amma babu hali   yar talakawar ma ta fi karfin sa  allah kai ne mafi sanin halin da muke ciki  ka wadata mu da abin da za mu yi aure,we celebrate you  ibrahim zanna amina ijeoma emezie ezigbo ijeoma nwagwu ijeoma ubosi ikeolu biobaku ime enang inimfon etuk iroghama ogbeifun isoken ogiemwonyi izobe spiff jessy eni joycee awosika,
872,inaa goyon bayan hakan  kuma insha allah akanshi xa a fara yaqi dasu  allah zai basu nasara in allah y yarda,ano m nso na aka nri chukwu   2,
873,don allah kayi ha uri ka taimaka masa,eze  ekele m gi,
874,allah yaja da kwanan babana,np nwata di nma    ft  urbanradioenugu  urbanweekend with  happybirthdayenugu,
875,aunty kinyi kyau  amma fa d an ganki ansan b indian bace ke  kash,nwaanyi  ma  dal  rinne,
876,innalillahi wa inna ilaihi raji un allah subhanahu wata la yakaremu yatsare imaninmu ya rabbal alameen,chineke nna eme gokwa nwa ogbenye ezege,
877,allah yayima bayinsaa mafita,anu kporo nku na eju onu,
878,ai daman haka wasa ya gada shima ba laifinsa ne ba kare mutunci kungiya ne kawai,ututu oma nwanyi oma,
879,allah ya takaita wannan masifar,daalu  nwanem di ukwu,
880,allah yakara tona asirinsu ameen,the chukwu agozigo gi video     illbliss,
881,da fatan ta ci nasaran daukan hoton,odogwu  odogwu   onye oma nke nwuru n obe  2x   masta m eh  ude gi na ede ewo   emma   emma       track name  i think it s emmanuel  marketed by gozmok production  lol  otegokwa aka,
882,gaskiya taska wannan episod din ya bani dariya over,the queen   has said it all    mercy nwa mara mma anyi fu gi na anya,
883,toh  allah ka tsare mu daga wannan musibar,chai  nnukwu mmanwu at his owerri home  dede ekelem,
884,za a samu kankare mai kyau kenan,yup  swiftkey  download it enable it download igbo language ka chineke mezuo okwu ya daal,
885,allah yataimaka d king   of kannywood,chukwu gozi gi nna,
886,allah ya nuna mana time din lafiya dan wallahi nima na gaji da wanan zaman atoh,nyem  d  ike,
887,allah ya kara kawo muna saukin wannan musiba,onye amara na onye ezi omume ka jehova bu e chineke anyi nwere obi ebere ututuoma nu,
888,this life is nothing wallahi         allah ya jikan shi da sauran musulmai,a d  m mma,
889,muna aduaa allah zai kare mu in sha allah,t t       ma nwany   ma,
890,ai wannan ya cancanta allah ina goya masa baya dari bisa dari,nsogbu adir  nna  any  n  ya,
891,ko ba nepa sai mun siyo fetur mun kalla in sha allah,i bu chineke  i bughi madu  okwu gi nile bu eziokwu,
892,wannan shine aikin musulunci  khadimul islam,ah a d  mma,
893,allah s w yasa kwanciya hutawa  ina yiwa jama ar zazzau ta aziyya,igbo kwenu   igbo na as  na   b   ha nwe mmad   mmad  anagh  enwe  ha ma ncha  any  na as  na taa b  ah a nkw  ga ab r  any   b ch   ma   iseee   njirimaraigbo oru owere festival oru owere festiva,
894,allah yakawomuna dauki don alfarmar annabi  s a w,eze igbo nke mbu na igbo nile  manofsteel,
895,ina taya joshua murnar samun nasara,nwa aba to the world  chineke gozie anyi  aku elisi elisi ka anyi choro na aka chukwu  i tap into your blessing sir,
896,nifa gidanku nakason zuwa intsaya safe ina kallonki,get a room umu chineke,
897,masha allah rahama sadau babar yarina,i b  chukwu   b gh  mmad  you are god you re not man  i b  chukwu   b gh  mmad  i b  chukwu  worship  sweetpsalmists,
898,ameeen yar uwa,heyyyyyy  nwata mara mma n ese okwu,
899,anty rahama  inajin kunyan ki choose a hashtag now   endinsecurity  endnorthbanditry  securenorth i know you love us,anyi ego  arim sharp  ubochi taa maara gi mma oo,
900,kaji manya na gari allah ubangiji ya gafarta masa ya kuma kula da bayan,jesus bu odogwu kachasi odogwu,
901,subhanallahi   kace na tsallake rijiya da baya,up and thankful  ututu oma ndi oma  emesiere,
902,wayyo allah cikina  irin wannan rawa haka,udo dikwara gi onyem,
903,allah yasa mufi qarfin zuciyar mu,akwaugo   asa eji eje mba,
904,allah yafisu malam saira,wow  just  wow  kudos nnedi  jide nke   ji,
905,wayyo       allah ya sa kano kar ahana mu saboda yan  zaria,nwanyi oma  daal,
906,zaman gida ga talakawa ba kewa zai sa musu ba sai dai kunci saboda bukatun mu na yau da kullum galibin mu sai mun fita muke samun na sawa abakin salati  allah ka yaye mana wannan annoba kai mana,bu ezigbo alobam,
907,ah mutumiyar tana jin arabic ashe,good morning umu nnem,
908,ya allah ka kara mana son annabi  s a w,o gaghi eme m n onu ikpere chineke onye ahu mere ndu foro m ooo  o gaghi eme m n onu,
909,allah yabada ladan yi,ada mmadu asa star girl,
910,allah ya kiyaye faruwar hakan nan gaba  shugabanni kuyi wani abu ko wutar data mamaye talaka ta shafe ku,ututu oma nu umu ibe  onye anwuna    ibe ya efuna    nke onye chiri ya zelu,
911,ya allah kakawo karshen wannan masifar da ta addabi nigeria,i love the way anambra men hail themselves  odogwu na ojoto  eze ndi eze na malay  obosi 1 of obosi  ikuku oma na oriefite  chi biaya na uruagu  mike full stop na ozubulu,
912,na sara musu gaskiya,nwannem spirit kedu  jisike na oru,
913,innalillahi wa inna ilaihi rajiun     allah ya kubutar da su allah ka kawo mana karshen masifar nan,nwa af  daal,
914,chigaba fa zaman lapia insha allah u,you tried but it s kedu  o di mma  kedu maka nna gi  daalu,
915,allah yabiya ganduje,enyi m jiri aka m metara onwe m,
916,"",onye ubiam adighi aza omere okachie   onye n enwegi ego adighi acho  change  cha cha onye ife na agara nke oma adighi eje bee dibia igba afa   elu uwa bu onye ozuru    ya emee good morning my peop,
917,wannan gsky ne directon directoci allah yakara hikima da basira,happy birthday ebe ka ona akpotu biko,
918,wow   great   wannan abu yayi,jisike nwafo igbo ji eme one god s grace,
919,bana fargabar kallon film indai falalu ne mai bada umarni  allah ya qara basira,happy birthday ada ru oha mma    ka chukwu mezie okwu na ndu gi  nye gi di ru mma nwere obi chineke  ma ogologo ndu na ahu ike  amim,
920,hmmmm malam yawale barka da zuwa ina fata dai kwana arba in da shidan nan basuyi kadan ba akwai wasu taron kawa juna sani wanda mukeso kadanje don karawa najeriya girma a idon duniya,nowplaying  ihe oma si gi n obi on  ogendigbo,
921,rahama allah shi maki albarka  shi qara daukaka darajarki ya kuma doraki akan maqiyanki,ngwanu  udo d r  gi,
922,ma zo neman aure,odogwu    chukwugozie gi nwanne m,
923,allahumma ya kyauta,eje ana b  isi ije  chukwu biko nye  m  igbo nile ga eje njem ekeresimesi amara  z  ije  any  ar   g,
924,fatana allah yasa ba ahalimu kija zageba gabadaya,sonia onyeoma  onye chukwu tinye extra ngozi,
925,allah kara wa malam daukaka da basira  allahumma amen,agu ndi igbo ji eme onu,
926,aunty zan tayaki wlh,ebuuuuu  i ma nu ro nwoke            wow    chukwu biko nyelum omalicha nwa ezigbo di ga eku ya ka akwa  ma fu ya n anya ka jesu kristi si fu anyi anya,
927,to shikuma dahaka zai fara allah ya kyauta,nwoke oma idi sharp,
928,ba nigeriya ba kenan allah yakawo mana karshen kashe kashe a duniya baki dai dan darajar annabi,kelenu jihovah n ihi na odinma  n ihi na ruo mgbe ebighiebi ka ebere ya di,
929,tabbas dazan sameki  kiyarda kinasona danaji dadi  kila allah yasa nasami cikan burina,welu ndu gi nyefe na jesus tonight,
930,yau fha mutuniyar anyi wankan gida ko andawo daga yawon bude ido,asampete nwayi oma      abujatwittercommunity,
931,allah ya sawaka ameen,ndewo ada mmad  maka nkwado g    h  na as s  igbo anw gh   a h r  m  r    na ar  n anya  as s  igbo agagh  anw,
932,masha allah muma muna godiya da labarai,it s over  freedom at last  congrats sir emeka ihedioha governor elect  imo state  ndi imo ekele m unu,
933,yawon bu e ido,wa b  nd l  nd l          nwanne m ebe  b na i n  biko jisie ike       nwant t  oge    ga ad  mma,
934,inkacire sardauna sokoto babu kamar u mar musa yar adu a allah ya jikikanku da rahama allah yasa chan yafi nan happy national day all peoples of nigeria,onye aghana nwanne ya  urioma,
935,masha allah amma gasiya irin wannan auransu yayi kyau allah ya basu zaman lafiya da zuria mai albaka,nna life di uso   asaba amaka,
936,kai rahama mashallah komai yaji wlh  allah ko a mafarkine,just negodu umu omalicha ube oyibo,
937,a fadi alheri dai ko ayi shiru  fata nagari lamiri  allah ya kiyaye qasata najeriya,jee nke oma dem gre ezigbo amadu,
938,allah yamasu albarka,ada oma ndi igbo ji eme onu jax in styled by nobs,
939,hmmm wallahi ki kiyayeni ko in ta sonki kamar zan mutu do u know what  just b coz ure amazing by nature,nwany   ma kfb,
940,hhhh hajiya rahama kenan yau ai azumin yayi sauki kam,ok nwoke oma,
941,abu yayi sosai,chukwu agozigo gi,
942,ina taya matan nan uni murna,imela  imela okaka  onyekeruwa imela  imela eze mo x2 onyedikagi  who is like you   ekene diri gi onye ne mema  he who does good  onyedikagi  who is like you   ekene diri gi  all glory belongs to,
943,sai da nakusa zubar da hawaye allah ya zabawa sarki abunda yafi zama alkhairi,ada i na enwu oku  congratulations baby,
944,allah ya yafe mana yasa muyi kyakkyawan karshe,n ezie nne m oma,
945,hmm gaskiya kowa da ra ayinshi  amma ni ra ayina kenn akan yadda wnn film yake tafiya  sbd haka ne zai warware ma  yan kallo komai  amma sai gashi wasu sunqi fahimtar haka  nidai hkn yy man daida,nnem   ga ad r  g  na mma  daal  nke ukwuu  chukwuokikeab ama butere g   z  ma kpeere g  az   iseeeeee ada igbo nile ka  b,
946,dan allah bbc abinda yadace yakamata a dunga fada,twhsitt  obuli wo m  elu higher higher,
947,covid 19 is not a death sentence  people are recovering every day  shi ma zai samu sauki ya warke in sha allah,b  ezigbo mmad  nnam,
948,nakan tunashi in anbaci sunan annani gunda zai amsa da sallallahu alaihi wa alihi wasallam nafisan film   dinsa mai suna bakin mulki,happy birthday my igbo brother   olisa bi n igwe chekwa gi nke oma,
949,mai neman kuka balle an jehe shi da kashin tumaki  lahia lau kenan  kaga sai farfesu kawai,owum oo  daalu nu ezigbote mmadu,
950,congratulations sis  allah yasa albarka dg me kaunarki,ibu agu nwanyi nw  ego gi bu oshimiri ata ata,
951,alhamdulillahi allah ya kara tsarewa,nwa nke a b  kpo kpo,
952,saboda yan shiar nigeria so suke siyiwa gwamnati tawaye addini suke mai kama da kafa kungiyar kin zaman lafy mudai muslmai ne gaba daya babu abinda muka sani na daidai wanda wuce koyi da annabi m,ewerem chukwu di nma      costumesunday  dignifiedpraise  thedoves,
953,nice initiative    yayi kyau,t t   ma igbo nwe mmad     ka  b ch  taa mara any  mma,
954,too allah ya bamu mafita,youdeyflenjor  onye dika gi    sunny  makeebetterforyou   w,
955,allah kadaene zai iya saka kimi  allah sanya alkhaeri,happy b day nwanyi oma    ka chukwu gozie gi  gba gi ume,
956,inson wannan wayar,chineme mma chinaza m epere chidin ma chinaza njo chi bu udo chineke oma chi obi oma   offering  giftedhands  fhlive,
957,allahu akbar  allah ya karbi aikinku dama namu baki daya,nwannem  ekelem gi  i b ghi mgbada tata  i celebrate you sir,
958,awesome  so elegant allah ya kara basira ramatu,nwanne i d  nwa  sharp   ka m gwa gi,
959,ai ah ya shine allah ya kiyaye wllh,igbo amaka  chukwu gozie umuigbo n ile no ebe di iche iche    isee   igbotwitterhangout  igboamaka  kuzierehaigbo,
960,akwai har  allah  allah ya kaimu 8pm lafiya,np  chukwu agozigo gi   on the  sundaychilloutzone with  chillingwithrani,
961,allah ya isa  allah kuma ya bi masu hakkin su  78   zabarmarimassacre,happy birthday nnayi pete edochie  chukwu gozie gi,
962,allah yaba da sa a  inyamura      amma ku kwana da sanin wlh kuna saka rayuwar yan uwan ku a arewa a halaka,nnukwu ada enwerokwa exchange biko,
963,ameen thumma ameen more talent yallabe allah karama basira,np   agam enye gi ekele on  gospelplanet w  101 1,
964,allah yanunamuna muma munkoma scul,sundayattherhythm w   nowonair obodo bu igwe    easysunday,
965,kina wuta muna binki da petro    allah ya kara daukaka,happy birthday oga charlie chukwu g zie g,
966,ikon allah nidai da nasoki sosai daga baya al amuranki duk sun janza kuma haryanzu na kasa daina sanki buh plz   plz dear kada ki kiki jin shawara   i love you,marriage  chukwu zoba kwa nd  ya,
967,allah y kara taimakun ka      our president,uche g  d  ya ofuma,
968,masha allah hukuncin yayi dai dai mu akan monzon tsira wallahi mun riga mun bada jinin mu  saura kuma muji wasu turawa na korafi a kai,wande coal dey sing abeg  chai  egwu nwere uru,
969,allah ya raya yakuma shitya muna danmu,happy birthday  d   kpara anambra,
970,the best tweet i across today    rahama allah ya shiryeki,doc odi egwu ooooo  happy independent sir,
971,allah ya tsare mu  allah yasa mugama da duniya lpy,singing  chukwu oma  onye oma nna  callinguntothedeep  holycommunion,
972,pic nan yamin kyaufa,chineke onye obi ebele    unu n eme ncha ebe a  chaaai,
973,shugaba mai adalaci na talakawa,ibu chukwu ibu gi madu o ibu chukwu ibu gi madu o na you be god almighty god you no be man o  hodservice  sundaypraisejam  worship,
974,kalubale      allah ya sa mu dace  al amarin corona yana da firgitarwa  allah s ami dace,ezigbo nwa oma osiso shey,
975,ta6 allh ya kiyaye,nsogbu adiro   aa gboo,
976,allah y kawo ciniki mai albarka,ibu chukwu ibu gima ndu     worship  thedoves  communionservice,
977,atine pa aurena ya kusa  ka ga wani parii da take min                   super director ka nishadantar a sanadi,nnakenyi nke mbu na mbu na okija  akam di n enu,
978,kan bala i           allah ya gaggauta kawo musu  auki mu kuma allah ya kare mu,chineke di amaka,
979,jinjina ta musamman ga shugaban turkiya,okwu kwe anyi di na ime jesus,
980,allah ya kaimu lapia,nn   ezigbo mmad,
981,allah amshi iba dunmu,nnem jisikwa ike oo,
982,rahama sadau ta zama alanwalker   nice one,happy birthday nwanyi oma  ogadirigi na nma na ututu  ehihie nakwa n abali,
983,allah ya kawo mana karshen ranar da za a daina cinikin mu,ekele ya nke omere  omekwa uzo x2 abu utito di m noo onu  obi a uri kam ji abu ya,
984,hhhhhhhhhh wayyo cikina,nwanne carry on ni di godi sharp,
985,allah kayimana maganin muta nen nan amin,chi okike chebe g  n  t t  ma n ehihie nd  g,
986,allah ne kadai zai taimaka a wannan yanayi baiwar allah  astagfirlah allah ya dawo maku dasu lafiya,happy birthday to nwoke di mma na eme mma     nwa n  ka etiti  igbo zuo igbo erie  daal  nna  ihe gi nile ga na eje nke  ma  d ejeee oooooo,
987,allah tsare mu,nna  ma  ka   boo,
988,allah yasa muga annabi muhammadu s a w,oku eligwe repiakwa unu nile na aha jesus  amen,
989,thank god numfashinmu ba a hannunsu yake ba  dan shima nasan da yanzu an bambamta yawan wanda talaka zai shaka da na mai kudi,daal  ezi nwaf   nna g  m r  g   ya gaziere g  nnukwu mmad   follow the tweet up,
990,saura mutuwa insha allahu,nwoke di uto,
991,well done elliquent director 10k of thanks in your account  gada asassau tawa mahmud   sumayya tazama celebrity duk da yayan tane amma yadawo karkashin yin aeki  laila i like your dad style,chukwu okike onye abiama o   biko ka odi ka isiri kwuo,
992,allah yasadai ana tunawa da iyalansu ba su da tasu ta kareva,ife di na nnewi o   ndi ezigbo ya,
993,kafisu shi yasa sai sarki ali allah ya qara daukaka,daal  onye m,
994,hakan dai kam zaifi allah bamu zaman lfy  a nigeria da duniya baki daya,jplayed meta onye di nma enyi by show promoter  igbohighliferequest with nwachinemerie  adan liukwuanu  1047smafm,
995,gaskiya hakan yayi kyau ina fatan su samu dai dai tawa a tsakaninsu,chukwu gozie gi rinne,
996,zabi allah muki so chikin su bawanda zan zaba,daalu nwanyi oma,
997,allah ya shirya mana ke rahama kefa yar garin mu ce,nne     ina enyem joy mgbe niine  daal,
998,anatare   allah ya sa mudace,onye nwe anyi gbaa gi ume  were ni m mere nke ato ka i were dizie ngozi na etiti umu nwoke ato,
999,sai ashiga 10 na cilas  sannan mu tsunduma 10 na murnar sallah   much love to  ramadan,chukwu nna  bikonu gozie aka orum you know am really trying my best  practically in a relationship with this my business bikonu  abum ezigbo nwa gi ogechukwukamma obiudu,
1000,rariya the blockbuster in kannywood boxoffice insha allah      6daystogo  rariyaincinemas,chineke di mma  worship,
